epoch,lr,next_lr,train_loss,train_acc,val_loss,val_acc,best_val_acc,epoch_time_sec
1,0.1,0.0999013364214135,1.4555896707322862,0.4650888888888889,1.366278405380249,0.5188,0.5188,31.308496699999523
2,0.0999013364214135,0.0996057350657239,1.0569109075334338,0.6226444444444444,1.1057380361557008,0.621,0.621,30.769095800002106
3,0.0996057350657239,0.0991143625364344,0.9094692923227946,0.6760666666666667,1.161514546060562,0.606,0.621,31.186653299999307
4,0.0991143625364344,0.0984291580564315,0.8193747247483996,0.7106,0.8702299899101257,0.7034,0.7034,31.017481200000475
5,0.0984291580564315,0.0975528258147576,0.7547952576955159,0.7360888888888889,0.8939309423446655,0.6876,0.7034,30.7500893999968
6,0.0975528258147576,0.0964888242944125,0.7048359574635824,0.7565333333333333,1.0214768075942993,0.6506,0.7034,30.54559050000171
7,0.0964888242944125,0.0952413526233009,0.6833209317949083,0.7650888888888889,1.6183567827224732,0.5554,0.7034,30.53970830000253
8,0.0952413526233009,0.0938153340021931,0.6529635096655951,0.7731333333333333,0.8009430567741394,0.7208,0.7208,30.790295999999216
9,0.0938153340021931,0.0922163962751007,0.640301275369856,0.7792222222222223,1.125971962928772,0.6402,0.7208,30.80626950000078
10,0.0922163962751007,0.0904508497187473,0.6225636008898418,0.7838444444444445,0.855016274356842,0.7164,0.7208,31.16249450000032
11,0.0904508497187473,0.0885256621387894,0.6049561348279318,0.7930444444444444,1.039527202320099,0.6612,0.7208,31.30220289999852
12,0.0885256621387894,0.0864484313710705,0.5977794394016266,0.7946222222222222,0.8631464768409729,0.7142,0.7208,31.57669100000203
13,0.0864484313710705,0.0842273552964344,0.5830584476153056,0.7992,0.809807874584198,0.731,0.731,31.806366000000708
14,0.0842273552964344,0.0818711994874344,0.5740325940767924,0.8018444444444445,0.9320464352607728,0.7114,0.731,31.974085699999705
15,0.0818711994874344,0.0793892626146236,0.5621389877849154,0.8071111111111111,0.896557576751709,0.7164,0.731,32.36381249999977
16,0.0793892626146236,0.0767913397489498,0.553569109943178,0.8108888888888889,0.8858735107421875,0.7092,0.731,32.784322199997405
17,0.0767913397489498,0.0740876837050857,0.5436880562888251,0.8148222222222222,0.7278568198204041,0.7666,0.7666,33.58352599999853
18,0.0740876837050857,0.0712889645782536,0.5382611520661248,0.8167555555555556,0.6319383417129517,0.7856,0.7856,34.03483870000127
19,0.0712889645782536,0.0684062276342338,0.535426237042745,0.8167555555555556,0.7018720575332642,0.7656,0.7856,35.4569384000024
20,0.0684062276342338,0.0654508497187473,0.5277317991044786,0.8192,0.8368180738449097,0.71,0.7856,34.20870180000202
21,0.0654508497187473,0.0624344943582427,0.5137006904760997,0.8228888888888889,0.6403873557090759,0.7846,0.7856,34.96897119999994
22,0.0624344943582427,0.0593690657292862,0.5052944980197482,0.8284444444444444,0.6633262324333191,0.7724,0.7856,39.86914109999998
23,0.0593690657292862,0.0562666616782152,0.4966598748472002,0.8312666666666667,0.5767271347045898,0.7986,0.7986,40.45409059999656
24,0.0562666616782152,0.0531395259764656,0.4895568596945868,0.8330222222222222,0.5456095030307769,0.8108,0.8108,35.29577119999885
25,0.0531395259764656,0.0499999999999999,0.476056300163269,0.8369777777777778,0.5726815197467804,0.8068,0.8108,35.273870900000475
26,0.0499999999999999,0.0468604740235343,0.4694099799368116,0.8398444444444444,1.1723072788238524,0.646,0.8108,34.951663499999995
27,0.0468604740235343,0.0437333383217847,0.4645613403214348,0.8428888888888889,0.802336644077301,0.7504,0.8108,34.21820970000044
28,0.0437333383217847,0.0406309342707137,0.4473033529705471,0.8478666666666667,0.5575946525096893,0.8194,0.8194,36.878510800001095
29,0.0406309342707137,0.0375655056417572,0.4385597132364909,0.8514888888888889,0.59068482837677,0.811,0.8194,35.10453829999824
30,0.0375655056417572,0.0345491502812526,0.4290490281793806,0.8546666666666667,0.7182799618721009,0.7696,0.8194,36.98039559999961
31,0.0345491502812526,0.0315937723657661,0.4239395860460069,0.8530222222222222,0.5753181523323059,0.808,0.8194,37.22909069999878
32,0.0315937723657661,0.0287110354217463,0.405081527296702,0.8620222222222222,0.536583219242096,0.819,0.8194,39.39535560000149
33,0.0287110354217463,0.0259123162949142,0.4012747075504727,0.8633111111111111,0.509858304977417,0.8244,0.8244,39.32720509999854
34,0.0259123162949142,0.0232086602510501,0.3888259694735209,0.8683111111111111,0.6180152515411377,0.7978,0.8244,39.356954900002165
35,0.0232086602510501,0.0206107373853763,0.3766632753902011,0.8714444444444445,0.6087032853126526,0.8082,0.8244,35.965004800000315
36,0.0206107373853763,0.0181288005125655,0.3655878714561462,0.8749333333333333,0.5659247331619263,0.815,0.8244,35.18811469999855
37,0.0181288005125655,0.0157726447035655,0.3564525528695848,0.8789777777777777,0.4986673934936523,0.8322,0.8322,35.15848900000128
38,0.0157726447035655,0.0135515686289294,0.3408380872938368,0.8841777777777777,0.5166378105163574,0.8336,0.8336,34.98928379999779
39,0.0135515686289294,0.0114743378612105,0.3295148729748196,0.8890666666666667,0.3940976760864257,0.8682,0.8682,34.13471489999938
40,0.0114743378612105,0.0095491502812526,0.3191862950325012,0.8927111111111111,0.4620028847694397,0.8462,0.8682,34.62354890000279
41,0.0095491502812526,0.0077836037248992,0.3076656135559082,0.8965333333333333,0.3883067241668701,0.8716,0.8716,35.81877170000007
42,0.0077836037248992,0.0061846659978068,0.2945539599153731,0.9003555555555556,0.399345156288147,0.864,0.8716,35.78937849999784
43,0.0061846659978068,0.004758647376699,0.2817738723887337,0.906,0.3793230896472931,0.8738,0.8738,35.91363629999978
44,0.004758647376699,0.0035111757055874,0.2726938977506425,0.9092666666666668,0.376926948595047,0.8696,0.8738,36.053457900001376
45,0.0035111757055874,0.0024471741852423,0.262168967268202,0.9126666666666666,0.3560670391082763,0.881,0.881,36.97599130000162
46,0.0024471741852423,0.0015708419435684,0.254842647796207,0.9160222222222222,0.3478311856269836,0.8812,0.8812,36.40665230000013
47,0.0015708419435684518,0.000885637463565564,0.24712940095000796,0.9192444444444444,0.3468256148338318,0.8846,0.8846,37.05563489999986
48,0.000885637463565564,0.00039426493427611173,0.24186362087726593,0.9218222222222222,0.347902840089798,0.884,0.8846,36.36774089999744
49,0.00039426493427611173,9.866357858642205e-05,0.23840506391525268,0.9225555555555556,0.34416048936843874,0.8848,0.8848,36.7589498999987
50,9.866357858642205e-05,0.0,0.23751775102085537,0.9227333333333333,0.3443531991958618,0.8842,0.8848,36.93603380000059
