epoch,lr,next_lr,train_loss,train_acc,val_loss,val_acc,best_val_acc,epoch_time_sec
1,0.1,0.09990133642141358,2.806906783803304,0.12344444444444444,2.2562659492492676,0.144,0.144,37.3991489
2,0.09990133642141358,0.0996057350657239,2.188348721906874,0.1899111111111111,2.100526654434204,0.2164,0.2164,36.21955219999995
3,0.0996057350657239,0.09911436253643444,1.952517167599996,0.255,1.8582134117126465,0.2896,0.2896,35.98275630000012
4,0.09911436253643444,0.09842915805643154,1.7886932402292888,0.31822222222222224,1.7317486444473267,0.3488,0.3488,35.81789519999984
5,0.09842915805643154,0.09755282581475767,1.709401468510098,0.35835555555555554,1.6851878995895386,0.3686,0.3686,36.056210800000144
6,0.09755282581475767,0.09648882429441256,1.6447251911799112,0.3862,1.5996065420150758,0.4098,0.4098,35.87734590000014
7,0.09648882429441256,0.09524135262330098,1.5676108600616454,0.4214222222222222,1.5247277585983277,0.4344,0.4344,35.742785999999796
8,0.09524135262330098,0.09381533400219318,1.495712426439921,0.4507111111111111,1.4508756231307984,0.4696,0.4696,38.2565967999999
9,0.09381533400219318,0.09221639627510075,1.4287729186799791,0.4776,1.380322353363037,0.496,0.496,39.725752000000284
10,0.09221639627510075,0.09045084971874737,1.3684237700992161,0.5068888888888889,1.3149536249160767,0.5298,0.5298,40.532009400000334
11,0.09045084971874737,0.08852566213878946,1.3217111121283638,0.5208666666666667,1.664428280735016,0.4462,0.5298,42.51217550000001
12,0.08852566213878946,0.08644843137107057,1.2779933226691351,0.5399555555555555,1.2205281127929688,0.5662,0.5662,40.01704840000002
13,0.08644843137107057,0.08422735529643442,1.2430720965703328,0.5573777777777777,1.3423736474037171,0.5238,0.5662,41.22930630000019
14,0.08422735529643442,0.08187119948743447,1.2159119434780545,0.5658222222222222,1.2165978556632995,0.5726,0.5726,40.79325749999998
15,0.08187119948743447,0.07938926261462366,1.1757423522525363,0.5788666666666666,1.0937237113952636,0.6234,0.6234,41.05896249999978
