epoch,lr,next_lr,train_loss,train_acc,val_loss,val_acc,best_val_acc,epoch_time_sec
1,0.1,0.09990133642141358,2.8488479702419705,0.14902222222222222,2.8880947078704833,0.1492,0.1492,37.500997899999675
2,0.09990133642141358,0.0996057350657239,2.049700317785475,0.2436,1.9318487857818603,0.3038,0.3038,38.11025289999998
3,0.0996057350657239,0.09911436253643444,1.8770599975162083,0.3002222222222222,1.8441840009689332,0.3234,0.3234,38.543857200000275
4,0.09911436253643444,0.09842915805643154,1.7475725922266643,0.3456888888888889,1.6596975646972656,0.382,0.382,39.87488450000001
5,0.09842915805643154,0.09755282581475767,1.6604904029210408,0.38451111111111114,1.5802952804565429,0.4336,0.4336,40.691659099999924
6,0.09755282581475767,0.09648882429441256,1.593566978348626,0.416,1.5089984352111816,0.4438,0.4438,40.78130770000007
7,0.09648882429441256,0.09524135262330098,1.5339012262980143,0.43953333333333333,1.4576521144866943,0.4792,0.4792,40.41125699999975
8,0.09524135262330098,0.09381533400219318,1.4691900549994574,0.4706444444444444,1.4761696847915649,0.4668,0.4792,40.30452390000028
9,0.09381533400219318,0.09221639627510075,1.4053672971937392,0.49448888888888887,1.4657668691635133,0.474,0.4792,39.172487400000136
10,0.09221639627510075,0.09045084971874737,1.3347170347849528,0.5220444444444444,1.348872784805298,0.5376,0.5376,39.425493699999606
11,0.09045084971874737,0.08852566213878946,1.2674733363893298,0.5488222222222222,1.2216262023925781,0.5782,0.5782,39.4052685000006
12,0.08852566213878946,0.08644843137107057,1.2188685697131687,0.5654,1.249356460762024,0.5574,0.5782,39.57792620000055
13,0.08644843137107057,0.08422735529643442,1.1779160896089342,0.5812222222222222,1.2043784313201904,0.569,0.5782,39.863778699999784
14,0.08422735529643442,0.08187119948743447,1.1420264058325025,0.5951333333333333,1.096124164390564,0.6208,0.6208,39.885626799999955
15,0.08187119948743447,0.07938926261462366,1.105854250992669,0.6105555555555555,1.146042748451233,0.5936,0.6208,40.04066409999996
16,0.07938926261462366,0.07679133974894982,1.0793540556589762,0.6170666666666667,1.1269272605895997,0.6014,0.6208,40.4160525999996
17,0.07679133974894982,0.07408768370508576,1.0533522655063206,0.6267111111111111,1.423180319595337,0.5272,0.6208,39.77564119999988
18,0.07408768370508576,0.07128896457825362,1.0372270943959554,0.6345555555555555,1.0931200870513915,0.614,0.6208,40.47267480000028
19,0.07128896457825362,0.06840622763423389,1.0030659645080566,0.6486444444444445,1.1858197635650636,0.598,0.6208,40.89632190000066
20,0.06840622763423389,0.06545084971874736,0.9929947852558559,0.6497777777777778,1.388210718345642,0.5466,0.6208,39.58468730000004
21,0.06545084971874736,0.06243449435824272,0.9718752409617106,0.6581555555555556,1.1307014590263367,0.595,0.6208,40.074520699999994
22,0.06243449435824272,0.05936906572928623,0.9559302424642775,0.6633555555555556,1.420732846546173,0.5598,0.6208,39.76137759999983
23,0.05936906572928623,0.056266661678215216,0.9468871669345432,0.6669777777777778,1.014535095024109,0.6542,0.6542,40.45170740000049
24,0.056266661678215216,0.053139525976465665,0.916550236723158,0.6766888888888889,1.0616114110946655,0.6422,0.6542,39.22104959999979
25,0.053139525976465665,0.049999999999999996,0.9088162466049194,0.6777777777777778,0.9551043375015259,0.6596,0.6596,39.940329299999576
26,0.049999999999999996,0.046860474023534326,0.8922738410949707,0.6848666666666666,1.0687948917388916,0.6284,0.6596,38.674351299999216
27,0.046860474023534326,0.04373333832178478,0.8740920193990072,0.6928,0.8634900066375732,0.7036,0.7036,39.50159689999964
28,0.04373333832178478,0.040630934270713764,0.8566030810568068,0.7004666666666667,0.8100189653396607,0.7088,0.7088,40.82712269999956
29,0.040630934270713764,0.03756550564175726,0.8357030883789063,0.7079777777777778,0.9267388792991638,0.679,0.7088,40.43177109999942
30,0.03756550564175726,0.03454915028125265,0.8174118266953362,0.7141555555555555,0.804148031616211,0.7254,0.7254,40.453886899999816
31,0.03454915028125265,0.03159377236576612,0.8004741514841716,0.7180222222222222,0.7928979246139526,0.7226,0.7254,40.12951070000054
32,0.03159377236576612,0.028711035421746366,0.7813765263875325,0.7281777777777778,0.7397550132751465,0.7416,0.7416,40.23770280000008
33,0.028711035421746366,0.025912316294914226,0.7667627206166585,0.7338,0.7873455759048462,0.73,0.7416,39.62751239999943
34,0.025912316294914226,0.023208660251050155,0.7423452636294895,0.7427111111111111,0.7529798620223999,0.741,0.7416,38.85184200000003
35,0.023208660251050155,0.020610737385376346,0.7263807196299235,0.7479777777777777,0.7144242403030395,0.7462,0.7462,38.602281599999515
36,0.020610737385376346,0.01812880051256551,0.6986745675192939,0.7558666666666667,0.7820160106658935,0.7292,0.7462,39.75227259999974
37,0.01812880051256551,0.015772644703565562,0.6848045523431566,0.7617555555555555,0.7673824640274047,0.7386,0.7462,39.38687209999989
38,0.015772644703565562,0.013551568628929433,0.6655743417316012,0.7678444444444444,0.7057005853652955,0.7526,0.7526,40.90432940000028
39,0.013551568628929433,0.011474337861210542,0.6501741821712917,0.7703333333333333,0.6661298976898193,0.7662,0.7662,38.908344399999805
40,0.011474337861210542,0.009549150281252632,0.6200436796294319,0.7835555555555556,0.6624721736907959,0.7722,0.7722,40.45783500000016
41,0.009549150281252632,0.007783603724899257,0.5991581822289361,0.7900444444444444,0.6158067050933838,0.7882,0.7882,40.108897300000535
